257.62 W
254.68 W
252.03 W
254.85 W
257.52 W
254.58 W
252.39 W
253.27 W
258.13 W
256.09 W
251.99 W
253.79 W
258.35 W
256.49 W
250.88 W
253.49 W
257.28 W
254.53 W
252.44 W
254.29 W
257.38 W
256.62 W
252.01 W
252.77 W
256.64 W
256.83 W
251.82 W
251.35 W
257.15 W
255.47 W
253.00 W
251.43 W
257.32 W
258.02 W
252.24 W
252.03 W
255.34 W
257.99 W
252.56 W
251.90 W
256.76 W
257.75 W
251.60 W
253.36 W
257.91 W
257.50 W
257.94 W
255.72 W
252.51 W
256.75 W
256.81 W
251.73 W
249.65 W
253.22 W
255.40 W
252.96 W
249.79 W
254.03 W
254.44 W
253.43 W
249.90 W
253.33 W
255.19 W
254.25 W
248.18 W
252.86 W
253.54 W
253.40 W
248.74 W
252.39 W
254.22 W
253.56 W
250.12 W
249.73 W
253.70 W
254.78 W
249.45 W
252.72 W
253.48 W
254.96 W
249.71 W
250.83 W
254.98 W
256.90 W
253.64 W
251.47 W
256.12 W
257.33 W
254.08 W
251.91 W
254.79 W
256.00 W
251.92 W
248.69 W
251.22 W
255.34 W
254.48 W
248.69 W
251.99 W
254.23 W
253.71 W
249.37 W
253.72 W
254.86 W
254.18 W
249.86 W
252.84 W
253.80 W
252.57 W
250.48 W
253.08 W
252.16 W
248.28 W
252.56 W
253.27 W
252.56 W
248.94 W
252.78 W
254.48 W
255.04 W
250.58 W
254.88 W
255.86 W
257.17 W
254.23 W
252.50 W
256.31 W
256.71 W
253.64 W
250.81 W
254.46 W
257.41 W
255.00 W
250.22 W
249.71 W
250.27 W
251.66 W
250.78 W
248.35 W
248.66 W
248.77 W
248.75 W
250.25 W
247.96 W
248.48 W
247.20 W
248.41 W
247.73 W
247.08 W
246.95 W
248.11 W
247.94 W
248.46 W
248.62 W
249.94 W
249.52 W
248.49 W
248.62 W
248.55 W
247.79 W
247.68 W
247.30 W
247.11 W
248.77 W
249.05 W
251.07 W
253.19 W
253.48 W
254.49 W
248.44 W
251.51 W
256.93 W
257.48 W
253.78 W
251.82 W
255.71 W
257.73 W
253.07 W
251.30 W
256.62 W
257.56 W
258.56 W
252.21 W
251.00 W
254.52 W
257.13 W
254.59 W
251.38 W
